SiteCode,Name_EN,Name_FR,Latitude,Longitude,AltMin,AltMax,Area,DateAssessed,PercentProtected,BoundaryGeneralized,Level,CriteriaMet,ConservationActions,Landcover,Province,Species
NL095,"Sandy Cove Ecological Reserve","Sandy Cove Ecological Reserve",51.35,-56.66,0,3,0.41,"2024-07-24 00:00:00",11,1,National,"Global: A1 - Threatened species (vascular plants); B1 - Individual geographically restricted species (vascular plants). National: ","Ex-situ conservation, Policies and regulations, Legislation, Awareness & communications, Site/area protection","Water(17.04%), Barren lands(41.7%), Urban(11.01%), Temperate or sub-polar shrubland(21.93%), Temperate or sub-polar needleleaf forest(1.28%), Wetland(5.1%), ","Newfoundland and Labrador","Long's Braya(Braya longii), "
NL096,"Shoal Cove","Shoal Cove",51.36,-56.64,0,2,0.12,"2024-07-24 00:00:00",0,1,National,"Global: A1 - Threatened species (vascular plants); B1 - Individual geographically restricted species (vascular plants). National: ","Awareness & communications, Policies and regulations, Ex-situ conservation, Legislation","Barren lands(14.08%), Temperate or sub-polar shrubland(5.96%), Urban(78.5%), ","Newfoundland and Labrador","Long's Braya(Braya longii), Fernald's Braya(Braya fernaldii), "
NL097,"Watts Point to Cape Norman","Watts Point à Cape Norman",51.52,-56.11,0,46,126.58,"2024-07-24 00:00:00",8,0,National,"Global: A1 - Threatened species (vascular plants); B1 - Individual geographically restricted species (vascular plants). National: ","Site/area protection, Awareness & communications, Policies and regulations, Compliance and enforcement, Legislation, Ex-situ conservation","Temperate or sub-polar needleleaf forest(15.85%), Water(16.21%), Wetland(20.06%), Temperate or sub-polar grassland(0.12%), Sub-polar or polar barren-lichen-moss(0.06%), Temperate or sub-polar shrubland(6.65%), Barren lands(33.2%), Mixed forest(4.07%), Sub-polar or polar grassland-lichen-moss(0%), Urban(1.01%), Sub-polar taiga needleleaf forest(2.76%), ","Newfoundland and Labrador","Barrens Willow(Salix jejuna), Fernald's Braya(Braya fernaldii), "
NL098,"Yankee Point","Yankee Point",51.32,-56.71,2,9,0.14,"2024-07-24 00:00:00",0,0,National,"Global: A1 - Threatened species (vascular plants); B1 - Individual geographically restricted species (vascular plants). National: ","Site/area protection, Habitat & natural process restoration, Ex-situ conservation, Legislation, Awareness & communications, Policies and regulations","Temperate or sub-polar shrubland(14.93%), Temperate or sub-polar broadleaf deciduous forest(11.05%), Temperate or sub-polar needleleaf forest(15.85%), Barren lands(17.68%), Urban(36.51%), ","Newfoundland and Labrador","Long's Braya(Braya longii), "
NL099,"Killdevil Mountain","Mont Killdevil",49.50,-57.74,359,672,2.33,"2024-07-24 00:00:00",100,1,National,"Global: . National: A1 - Threatened species (sensitive species)","Policies and regulations, Site/area protection","Temperate or sub-polar needleleaf forest(10.19%), Wetland(5.37%), Mixed forest(23.55%), Temperate or sub-polar shrubland(35.45%), Barren lands(25.41%), ","Newfoundland and Labrador",
NL100,"The Tablelands","Les Tablelands",49.44,-58.01,9,721,88.57,"2024-07-24 00:00:00",100,0,National,"Global: A1 - Threatened species (vascular plants); B1 - Individual geographically restricted species (vascular plants). National: ","Site/area management, Site/area protection","Mixed forest(1.81%), Wetland(27.77%), Temperate or sub-polar needleleaf forest(1.31%), Barren lands(57.58%), Temperate or sub-polar shrubland(5.92%), Water(5.62%), ","Newfoundland and Labrador","Newfoundland Chickweed(Cerastium terrae-novae), "
NS001,"Bird Islands","Bird Islands",46.38,-60.38,0,23,10.89,"2024-04-17 00:00:00",1,0,National,"Global: . National: D1 - Demographic aggregations (birds)","Resource & habitat protection, Policies and regulations, Site/area protection","Temperate or sub-polar grassland(0.07%), Temperate or sub-polar needleleaf forest(0.09%), Wetland(0.11%), Water(98.63%), Temperate or sub-polar shrubland(0.99%), Barren lands(0.06%), ","Nova Scotia","Razorbill(Alca torda), "
NS003,"The Brothers","The Brothers",43.63,-65.83,0,0,0.39,"2024-04-17 00:00:00",2,0,National,"Global: . National: A1 - Threatened species (birds); B1 - Individual geographically restricted species (birds); D1 - Demographic aggregations (birds)","Species recovery, Resource & habitat protection, Policies and regulations, Species management, Site/area management, Site/area protection","Water(99.58%), ","Nova Scotia","Roseate Tern(Sterna dougallii), "
NS009,"Pomquet Beach Region","Pomquet Beach Region",45.68,-61.85,0,127,37.88,"2023-09-20 00:00:00",56,0,National,"Global: . National: A1 - Threatened species (birds)","Site/area protection, Legislation, Policies and regulations, Awareness & communications","Temperate or sub-polar needleleaf forest(8.75%), Cropland(5.9%), Barren lands(0.45%), Temperate or sub-polar broadleaf deciduous forest(8.74%), Mixed forest(13.06%), Temperate or sub-polar grassland(3.48%), Water(56.62%), Urban(2.6%), Wetland(0.35%), Temperate or sub-polar shrubland(0.04%), ","Nova Scotia","Piping Plover(Charadrius melodus melodus), "
NS014,Musquodoboit,Musquodoboit,44.70,-63.12,0,47,28.54,"2022-08-18 00:00:00",6,0,Global,"Global: D1 - Demographic aggregations (birds). National: D1 - Demographic aggregations (birds)","Site/area protection","Temperate or sub-polar grassland(1.32%), Temperate or sub-polar needleleaf forest(33.48%), Mixed forest(3.86%), Urban(1.38%), Temperate or sub-polar broadleaf deciduous forest(0.61%), Wetland(0.05%), Barren lands(0.27%), Water(59.02%), ","Nova Scotia","Semipalmated Plover(Charadrius semipalmatus), "
NS015,"Bon Portage Island","Bon Portage Island",43.47,-65.75,0,6,27.95,"2024-04-17 00:00:00",0,0,National,"Global: A1 - Threatened species (birds). National: A1 - Threatened species (birds)","Awareness & communications, Site/area protection, Resource & habitat protection","Temperate or sub-polar needleleaf forest(2.04%), Water(95.65%), Temperate or sub-polar broadleaf deciduous forest(0.72%), Mixed forest(1.48%), Temperate or sub-polar grassland(0.08%), ","Nova Scotia","Leach's Storm-Petrel(Hydrobates leucorhous), Leach's Storm-Petrel(Hydrobates leucorhous pop. 1), "
NS016,"Eastern Cape Sable Island","Eastern Cape Sable Island",43.43,-65.61,0,15,33.62,"2022-08-18 00:00:00",1,0,Global,"Global: D1 - Demographic aggregations (birds). National: A1 - Threatened species (birds); D1 - Demographic aggregations (birds)","Site/area protection, Awareness & communications","Temperate or sub-polar broadleaf deciduous forest(5.49%), Barren lands(0.29%), Urban(3.64%), Wetland(0.02%), Mixed forest(7.87%), Temperate or sub-polar needleleaf forest(4.75%), Water(76.95%), Temperate or sub-polar grassland(0.99%), ","Nova Scotia","Dovekie(Alle alle), Short-billed Dowitcher(Limnodromus griseus), Sanderling(Calidris alba), Roseate Tern(Sterna dougallii), Piping Plover(Charadrius melodus melodus), Semipalmated Plover(Charadrius semipalmatus), Northern Gannet(Morus bassanus), Semipalmated Sandpiper(Calidris pusilla), "
NS017,"South Shore (Roseway to Baccaro)","South Shore (Roseway to Baccaro)",43.58,-65.35,0,38,63.02,"2023-10-05 00:00:00",7,0,National,"Global: . National: A1 - Threatened species (birds, vascular plants); B1 - Individual geographically restricted species (vascular plants)","Site/area protection, Site/area management","Cropland(0.06%), Temperate or sub-polar grassland(0.38%), Barren lands(0.16%), Mixed forest(23.16%), Water(58.51%), Urban(2.84%), Temperate or sub-polar needleleaf forest(10.4%), Temperate or sub-polar broadleaf deciduous forest(4.49%), ","Nova Scotia","Thread-leaved Sundew(Drosera filiformis), Piping Plover(Charadrius melodus melodus), "
NS019,"Cobequid Bay","Cobequid Bay",45.35,-63.76,0,214,574.92,"2023-10-05 00:00:00",1,0,National,"Global: D1 - Demographic aggregations (birds). National: A1 - Threatened species (invertebrates); B1 - Individual geographically restricted species (invertebrates); D1 - Demographic aggregations (birds)","Species recovery, Site/area protection, Site/area management, Legislation, Awareness & communications","Temperate or sub-polar shrubland(0.11%), Urban(2.35%), Cropland(10.58%), Mixed forest(5.04%), Wetland(1.24%), Temperate or sub-polar needleleaf forest(4.28%), Temperate or sub-polar grassland(0.82%), Water(71.92%), Barren lands(0.06%), Temperate or sub-polar broadleaf deciduous forest(3.61%), ","Nova Scotia","Atlantic Mud-piddock(Barnea truncata), Semipalmated Sandpiper(Calidris pusilla), "
NS020,"Southern Bight, Minas Basin","Southern Bight, Minas Basin",45.13,-64.24,0,92,225.36,"2024-05-22 00:00:00",0,0,National,"Global: A1 - Threatened species (vascular plants); D1 - Demographic aggregations (birds). National: A1 - Threatened species (birds, invertebrates); B1 - Individual geographically restricted species (vascular plants); D1 - Demographic aggregations (birds)","Site/area management, Site/area protection, Awareness & communications, Legislation","Temperate or sub-polar grassland(0.56%), Mixed forest(4.96%), Temperate or sub-polar needleleaf forest(1.27%), Cropland(30.45%), Wetland(0.72%), Barren lands(0.04%), Temperate or sub-polar shrubland(0.03%), Urban(7.65%), Temperate or sub-polar broadleaf deciduous forest(4.9%), Water(49.42%), ","Nova Scotia","Roland's Sea-blite(Suaeda rolandii), Chimney Swift(Chaetura pelagica), Atlantic Mud-piddock(Barnea truncata), Semipalmated Sandpiper(Calidris pusilla), Big-leaved Marsh-elder(Iva frutescens), "
NS021,"Brier Island and Offshore Waters","Brier Island and Offshore Waters",44.30,-66.30,0,103,286.94,"2024-04-17 00:00:00",2,0,National,"Global: B1 - Individual geographically restricted species (vascular plants). National: A1 - Threatened species (fungi and lichens); D1 - Demographic aggregations (birds)","Site/area protection, Site/area management, Legislation, Resource & habitat protection, Awareness & communications, Formal education, Invasive/problematic species control","Urban(1.01%), Wetland(0.01%), Temperate or sub-polar shrubland(0%), Mixed forest(7.32%), Temperate or sub-polar grassland(0.03%), Temperate or sub-polar broadleaf deciduous forest(2.36%), Water(80.89%), Cropland(0.77%), Temperate or sub-polar needleleaf forest(7.59%), Barren lands(0%), ","Nova Scotia","Red Phalarope(Phalaropus fulicarius), Eastern Mountain Avens(Geum peckii), Hairy-spined Shield Lichen(Hypotrachyna horrescens), "
NS027,"Eastern Shore Islands","Eastern Shore Islands",44.88,-62.19,0,16,86.82,"2024-09-25 00:00:00",1,0,National,"Global: A1 - Threatened species (birds). National: A1 - Threatened species (birds)","Site/area protection, Site/area management","Temperate or sub-polar broadleaf deciduous forest(0.12%), Temperate or sub-polar grassland(0.22%), Temperate or sub-polar shrubland(0.02%), Water(99.36%), Barren lands(0.05%), Temperate or sub-polar needleleaf forest(0.2%), Mixed forest(0.03%), ","Nova Scotia","Leach's Storm-Petrel(Hydrobates leucorhous pop. 1), Leach's Storm-Petrel(Hydrobates leucorhous), "
NS028,"Country Island Complex","Country Island Complex",45.10,-61.54,0,15,19.72,"2024-09-25 00:00:00",1,0,National,"Global: A1 - Threatened species (birds). National: A1 - Threatened species (birds)","Resource & habitat protection, Site/area protection, Site/area management, Invasive/problematic species control","Mixed forest(0.08%), Temperate or sub-polar broadleaf deciduous forest(0.87%), Temperate or sub-polar shrubland(0.04%), Wetland(0.05%), Temperate or sub-polar needleleaf forest(1.6%), Temperate or sub-polar grassland(0.36%), Water(96.98%), ","Nova Scotia","Leach's Storm-Petrel(Hydrobates leucorhous), Leach's Storm-Petrel(Hydrobates leucorhous pop. 1), Roseate Tern(Sterna dougallii), "
NS072,"Barrington Lake","Barrington Lake",43.61,-65.57,10,21,3.28,"2022-09-19 00:00:00",0,0,National,"Global: . National: Threatened vascular plants (A1); Geographically restricted vascular plants (individual species) (B1)",Legislation,"Urban(3.71%), Temperate or sub-polar broadleaf deciduous forest(11.05%), Mixed forest(32.19%), Water(46.82%), Temperate or sub-polar needleleaf forest(6.17%), ","Nova Scotia","Tubercled Spikerush(Eleocharis tuberculosa), "
NS073,"Belliveau Lake","Belliveau Lake",44.33,-66.04,49,62,4.62,"2022-09-19 00:00:00",4,0,National,"Global: . National: Threatened vascular plants (A1)","Awareness & communications, Site/area protection","Mixed forest(16.69%), Water(50.74%), Urban(2.76%), Temperate or sub-polar grassland(0.56%), Temperate or sub-polar needleleaf forest(6.49%), Temperate or sub-polar broadleaf deciduous forest(22.73%), ","Nova Scotia","Spotted Pondweed(Potamogeton pulcher), Coastal Sweet Pepperbush(Clethra alnifolia), "
NS074,"Fancy Lake","Fancy Lake",44.32,-64.55,60,73,6.4,"2022-09-19 00:00:00",0,0,National,"Global: . National: A1 - Threatened species (vascular plants); B1 - Individual geographically restricted species (vascular plants)","Site/area protection, Legislation","Temperate or sub-polar grassland(0.89%), Cropland(1.56%), Water(63.97%), Temperate or sub-polar needleleaf forest(6.67%), Temperate or sub-polar broadleaf deciduous forest(7.55%), Urban(5.12%), Mixed forest(14.25%), ","Nova Scotia","Golden-crest(Lophiola aurea), "
NS075,"Gold and Western Lakes","Gold and Western Lakes",43.85,-65.46,46,57,4.9,"2022-09-19 00:00:00",0,0,National,"Global: . National: Threatened vascular plants (A1)",Legislation,"Water(40.89%), Urban(0.45%), Temperate or sub-polar needleleaf forest(7.23%), Mixed forest(46.01%), Temperate or sub-polar broadleaf deciduous forest(5.28%), ","Nova Scotia","Tubercled Spikerush(Eleocharis tuberculosa), "
NS076,"Great Pubnico Lake","Great Pubnico Lake",43.72,-65.68,39,53,30.66,"2022-09-19 00:00:00",0,0,National,"Global: . National: Threatened vascular plants (A1); Geographically restricted vascular plants (individual species) (B1)",Legislation,"Water(63.15%), Urban(0.23%), Temperate or sub-polar needleleaf forest(3.6%), Temperate or sub-polar broadleaf deciduous forest(2.82%), Mixed forest(30.18%), ","Nova Scotia","Tubercled Spikerush(Eleocharis tuberculosa), "
NS077,"Harpers Lake","Harpers Lake",43.81,-65.46,36,49,4,"2022-09-19 00:00:00",0,0,National,"Global: . National: A1 - Threatened species (vascular plants)",Legislation,"Cropland(0.92%), Temperate or sub-polar needleleaf forest(3.99%), Water(63.14%), Temperate or sub-polar broadleaf deciduous forest(3.11%), Urban(0.14%), Mixed forest(28.66%), ","Nova Scotia","Tubercled Spikerush(Eleocharis tuberculosa), "
NS078,"LaHave River Estuary","LaHave River Estuary",44.36,-64.45,0,19,5.94,"2022-09-19 00:00:00",0,0,National,"Global: . National: Threatened vascular plants (A1); Geographically restricted vascular plants (individual species) (B1)",,"Temperate or sub-polar broadleaf deciduous forest(0.53%), Water(82.54%), Cropland(0.11%), Mixed forest(2.16%), Urban(11.7%), Temperate or sub-polar grassland(0.19%), Temperate or sub-polar needleleaf forest(2.73%), ","Nova Scotia","Eastern Lilaeopsis(Lilaeopsis chinensis), "
NS079,"Medway River Estuary","Medway River Estuary",44.13,-64.61,0,6,2.08,"2022-09-01 00:00:00",0,0,National,"Global: . National: Threatened vascular plants (A1); Geographically restricted vascular plants (individual species) (B1)",,"Temperate or sub-polar grassland(0.64%), Water(85.31%), Mixed forest(3.65%), Temperate or sub-polar needleleaf forest(5.75%), Temperate or sub-polar broadleaf deciduous forest(1.95%), Urban(2.66%), ","Nova Scotia","Eastern Lilaeopsis(Lilaeopsis chinensis), "
NS080,"Port La Tour Bogs","Port La Tour Bogs",43.54,-65.51,0,25,24.52,"2022-09-19 00:00:00",34,0,National,"Global: . National: Threatened vascular plants (A1)","Site/area protection, Site/area management","Mixed forest(76.98%), Temperate or sub-polar grassland(1.12%), Temperate or sub-polar broadleaf deciduous forest(4.05%), Urban(0.36%), Temperate or sub-polar needleleaf forest(15.1%), Water(2.39%), ","Nova Scotia","Thread-leaved Sundew(Drosera filiformis), "
NS081,"River Philip Estuary","River Philip Estuary",45.78,-63.79,0,13,2.9,"2022-09-19 00:00:00",52,0,National,"Global: . National: Threatened vascular plants (A1); Geographically restricted vascular plants (individual species) (B1)",,"Cropland(4.41%), Temperate or sub-polar broadleaf deciduous forest(1.17%), Wetland(1.86%), Temperate or sub-polar grassland(0.28%), Urban(1.82%), Mixed forest(4.95%), Water(76.13%), Temperate or sub-polar needleleaf forest(9.37%), ","Nova Scotia","Eastern Lilaeopsis(Lilaeopsis chinensis), "
NS082,"Roseway River Estuary","Roseway River Estuary",43.76,-65.33,0,13,1.18,"2022-09-19 00:00:00",0,0,National,"Global: . National: Threatened vascular plants (A1)",,"Temperate or sub-polar needleleaf forest(9.24%), Temperate or sub-polar broadleaf deciduous forest(2%), Urban(7.11%), Mixed forest(10.95%), Water(70.43%), ","Nova Scotia","Eastern Lilaeopsis(Lilaeopsis chinensis), "
NS083,"Carrigan Lake","Carrigan Lake",44.28,-65.08,83,93,2.14,"2023-08-28 00:00:00",12,0,National,"Global: . National: A1 - Threatened species (vascular plants); B1 - Individual geographically restricted species (vascular plants)","Site/area management, Legislation, Site/area protection","Temperate or sub-polar broadleaf deciduous forest(2.69%), Temperate or sub-polar grassland(0.9%), Water(60.74%), Mixed forest(25.12%), Temperate or sub-polar needleleaf forest(10.54%), ","Nova Scotia","Tall Beakrush(Rhynchospora macrostachya), Spotted Pondweed(Potamogeton pulcher), "
NS084,"Pretty Mary, Mudflat and Mill Lakes","Pretty Mary, Mudflat and Mill Lakes",44.47,-65.16,117,147,6.91,"2023-08-28 00:00:00",0,0,National,"Global: . National: A1 - Threatened species (vascular plants); B1 - Individual geographically restricted species (vascular plants)","Awareness & communications","Urban(5.59%), Temperate or sub-polar broadleaf deciduous forest(7.3%), Temperate or sub-polar grassland(0.4%), Water(26.13%), Mixed forest(37.71%), Temperate or sub-polar needleleaf forest(22.88%), ","Nova Scotia","Coastal Sweet Pepperbush(Clethra alnifolia), "
NS085,"Tusket River and Estuary","Tusket River and Estuary",43.93,-65.81,0,74,262.08,"2023-08-28 00:00:00",11,0,National,"Global: . National: Threatened vascular plants (A1); Geographically restricted vascular plants (individual species) (B1)","Invasive/problematic species control, Site/area protection, Legislation, Species recovery, Site/area management, Awareness & communications, Formal education","Water(31.69%), Wetland(0.01%), Cropland(0.91%), Temperate or sub-polar grassland(0.52%), Mixed forest(35.99%), Temperate or sub-polar needleleaf forest(14.59%), Urban(4.08%), Temperate or sub-polar broadleaf deciduous forest(12.22%), Barren lands(0%), ","Nova Scotia","Maleberry(Lyonia ligustrina), Eastern Baccharis(Baccharis halimifolia), Coastal Sweet Pepperbush(Clethra alnifolia), Eastern Lilaeopsis(Lilaeopsis chinensis), Big-leaved Marsh-elder(Iva frutescens), Spotted Pondweed(Potamogeton pulcher), Water Pennywort(Hydrocotyle umbellata), Coastal Plain Joe Pye Weed(Eutrochium dubium), Plymouth Gentian(Sabatia kennedyana), Pink Coreopsis(Coreopsis rosea), Saltmarsh False Foxglove(Agalinis maritima), "
NT002,"Whooping Crane Nesting Area and Summer Range","Whooping Crane Nesting Area and Summer Range",60.33,-113.25,200,300,9360.464,"2022-08-18 00:00:00",97,0,Global,"Global: Threatened birds (A1). National: Threatened birds (A1)","Site/area protection, Site/area management","Water(4.74%), Temperate or sub-polar grassland(12.02%), Temperate or sub-polar broadleaf deciduous forest(2.04%), Mixed forest(6.82%), Temperate or sub-polar shrubland(14.31%), Wetland(19.58%), Temperate or sub-polar needleleaf forest(39.49%), ","Northwest Territories","Whooping Crane(Grus americana), "
NT109,"Baillie Island","Baillie Island",70.58,-128.27,0,1,20.73,"2022-10-15 00:00:00",0,0,Global,"Global: A1 - Threatened species (vascular plants). National: ","Site/area management, Awareness & communications","Wetland(1.12%), Sub-polar or polar shrubland-lichen-moss(1.88%), Barren lands(0.7%), Sub-polar taiga needleleaf forest(0.14%), Sub-polar or polar barren-lichen-moss(28.28%), Water(18.77%), Sub-polar or polar grassland-lichen-moss(49.13%), ","Northwest Territories","Hairy Braya(Braya pilosa), "
NT110,"Big Fish River - Little Fish Creek","Big Fish River - Little Fish Creek",68.30,-136.32,206,415,3.2,"2022-08-29 00:00:00",0,0,National,"Global: . National: D1 - Demographic aggregations (fishes)","Compliance and enforcement, Species management, Policies and regulations","Sub-polar or polar grassland-lichen-moss(4.24%), Water(53.08%), Temperate or sub-polar shrubland(0.69%), Sub-polar or polar shrubland-lichen-moss(22.97%), Barren lands(3.54%), Temperate or sub-polar needleleaf forest(5.7%), Wetland(9.48%), Sub-polar taiga needleleaf forest(0.18%), ","Northwest Territories","Dolly Varden(Salvelinus malma pop. 3), "
NT111,"Cape Bathurst South","Cape Bathurst South",70.38,-127.83,0,33,69.02,"2022-10-15 00:00:00",0,0,National,"Global: Threatened vascular plants (A1); Geographically restricted vascular plants (individual species) (B1). National: ","Awareness & communications, Site/area management","Water(6.12%), Barren lands(0.31%), Sub-polar or polar grassland-lichen-moss(74.34%), Temperate or sub-polar needleleaf forest(0.06%), Sub-polar or polar barren-lichen-moss(11.42%), Wetland(2.12%), Sub-polar taiga needleleaf forest(1.66%), Sub-polar or polar shrubland-lichen-moss(3.97%), ","Northwest Territories","Hairy Braya(Braya pilosa), "
NT112,"Cape Bathurst North","Cape Bathurst North",70.53,-127.96,0,5,97.29,"2022-10-15 00:00:00",0,0,National,"Global: Threatened vascular plants (A1); Geographically restricted vascular plants (individual species) (B1). National: ","Site/area management, Awareness & communications","Sub-polar taiga needleleaf forest(0.67%), Wetland(1.21%), Sub-polar or polar shrubland-lichen-moss(13.17%), Sub-polar or polar barren-lichen-moss(8.9%), Sub-polar or polar grassland-lichen-moss(66.13%), Temperate or sub-polar needleleaf forest(0.03%), Water(9.44%), Barren lands(0.46%), ","Northwest Territories","Hairy Braya(Braya pilosa), "
NT113,"Nahanni National Park Reserve: 86-030","Nahanni National Park Reserve: 86-030",61.39,-126.74,664,728,0.17,"2022-09-16 00:00:00",100,0,Global,"Global: B1 - Individual geographically restricted species (vascular plants). National: ","Awareness & communications, Resource & habitat protection, Site/area protection, Site/area management","Wetland(7.12%), Temperate or sub-polar needleleaf forest(81.61%), Temperate or sub-polar grassland(6.59%), Mixed forest(4.08%), ","Northwest Territories","Nahanni Aster(Symphyotrichum nahanniense), "
NT114,"Nahanni National Park Reserve: Old Pots","Nahanni National Park Reserve: Old Pots",61.55,-126.48,528,722,1.51,"2022-08-30 00:00:00",100,0,Global,"Global: B1 - Individual geographically restricted species (vascular plants). National: ","Site/area management, Awareness & communications, Site/area protection, Resource & habitat protection","Mixed forest(0.89%), Temperate or sub-polar needleleaf forest(96.65%), Wetland(0.99%), Water(1.14%), ","Northwest Territories","Nahanni Aster(Symphyotrichum nahanniense), "
NT115,"Nahanni National Park Reserve: Wildmint","Nahanni National Park Reserve: Wildmint",61.43,-126.58,620,699,1.25,"2022-08-30 00:00:00",100,0,Global,"Global: B1 - Individual geographically restricted species (vascular plants). National: ","Site/area protection, Site/area management, Awareness & communications, Resource & habitat protection","Mixed forest(16.32%), Water(0.85%), Temperate or sub-polar shrubland(0.53%), Barren lands(1.3%), Temperate or sub-polar grassland(3.74%), Temperate or sub-polar needleleaf forest(65.8%), Temperate or sub-polar broadleaf deciduous forest(1.28%), Wetland(10.16%), ","Northwest Territories","Nahanni Aster(Symphyotrichum nahanniense), "
NT116,"Rat River - Fish Creek","Rat River - Fish Creek",67.87,-136.33,294,668,9.97,"2023-05-09 00:00:00",86,0,National,"Global: . National: Aggregations of fishes (D1)","Policies and regulations, Compliance and enforcement, Species management, Site/area protection","Mixed forest(8.81%), Temperate or sub-polar grassland(0.34%), Sub-polar or polar shrubland-lichen-moss(21.61%), Wetland(12.33%), Sub-polar taiga needleleaf forest(1.53%), Temperate or sub-polar needleleaf forest(23.88%), Barren lands(6.86%), Temperate or sub-polar shrubland(1.65%), Water(21.35%), Sub-polar or polar grassland-lichen-moss(1.64%), ","Northwest Territories","Dolly Varden(Salvelinus malma pop. 3), "
NU007,"Akpatok Island","Akpatok Island",60.42,-68.13,0,300,1052.316,"2022-08-18 00:00:00",0,0,Global,"Global: Aggregations of birds (D1). National: Aggregations of birds (D1)","Site/area protection","Water(16.27%), Barren lands(68.66%), Sub-polar or polar grassland-lichen-moss(1.71%), Sub-polar or polar barren-lichen-moss(13.32%), ",Nunavut,"Thick-billed Murre(Uria lomvia), "
NU036,"Akimiski Island","Akimiski Island",53.16,-81.66,0,28,3226.66,"2022-08-18 00:00:00",81,0,Global,"Global: D1 - Demographic aggregations (birds). National: A1 - Threatened species (birds); D1 - Demographic aggregations (birds)",Legislation,"Sub-polar or polar grassland-lichen-moss(0.05%), Sub-polar or polar barren-lichen-moss(0.06%), Sub-polar taiga needleleaf forest(0.07%), Wetland(37.98%), Water(49.95%), Temperate or sub-polar shrubland(1.6%), Temperate or sub-polar grassland(0%), Temperate or sub-polar needleleaf forest(10.28%), ",Nunavut,"Semipalmated Sandpiper(Calidris pusilla), Marbled Godwit(Limosa fedoa), Brant(Branta bernicla), Snow Goose(Anser caerulescens), Hudsonian Godwit(Limosa haemastica), "
NU112,"Quttinirpaaq National Park - Tanquary Fiord","Quttinirpaaq National Park - Tanquary Fiord",81.38,-76.70,12,1231,47.47,"2023-05-08 00:00:00",100,0,National,"Global: . National: A1 - Threatened species (nonvascular plants)","Site/area protection, Resource & habitat protection, Site/area management","Water(0.34%), Barren lands(72.1%), Sub-polar or polar grassland-lichen-moss(13.1%), Sub-polar or polar barren-lichen-moss(13.67%), ",Nunavut,"Porsild's Bryum(Haplodontium macrocarpum), "
ON001,"Long Point Peninsula and Marshes","Long Point Peninsula and Marshes",42.59,-80.30,168,203,286.9,"2024-04-17 00:00:00",15,0,National,"Global: D1 - Demographic aggregations (birds). National: A1 - Threatened species (amphibians and reptiles, birds, fishes, vascular plants, sensitive species); B1 - Individual geographically restricted species (amphibians and reptiles, fishes, vascular plants); B4 - Geographically restricted ecosystem types (grasslands and shrublands); D1 - Demographic aggregations (birds)","Awareness & communications, Habitat & natural process restoration, Site/area management, Species management, Invasive/problematic species control, Site/area protection, Resource & habitat protection","Temperate or sub-polar needleleaf forest(2.66%), Wetland(3.44%), Barren lands(1.31%), Water(83.17%), Temperate or sub-polar shrubland(1.46%), Mixed forest(4%), Cropland(1.8%), Temperate or sub-polar broadleaf deciduous forest(0.71%), Urban(1.25%), Temperate or sub-polar grassland(0.19%), ",Ontario,"Red-breasted Merganser(Mergus serrator), Tundra Swan(Cygnus columbianus), Bent Spike-rush - Great Lakes Plains population(Eleocharis geniculata pop. 2), Greater Scaup(Aythya marila), Blanding's Turtle(Emydoidea blandingii pop. 2), Lake Chubsucker(Erimyzon sucetta), Whimbrel(Numenius phaeopus), Bank Swallow(Riparia riparia), Broad-winged Sedge(Carex alata), Common Grackle(Quiscalus quiscula), Common Merganser(Mergus merganser), Pugnose Shiner(Notropis anogenus), Canvasback(Aythya valisineria), Redhead(Aythya americana), Fowler's Toad(Anaxyrus fowleri), Double-crested Cormorant(Nannopterum auritum), Warmouth(Lepomis gulosus), Spotted Gar(Lepisosteus oculatus), Spiny Softshell Turtle(Apalone spinifera), Chimney Swift(Chaetura pelagica), Black-edged Sedge(Carex nigromarginata), Bonaparte's Gull(Chroicocephalus philadelphia), Horsetail Spike-rush(Eleocharis equisetoides), Little Gull(Hydrocoloeus minutus), "
ON011,"Aylmer Wildlife Management Area","Aylmer Wildlife Management Area",42.81,-80.95,228,245,10.29,"2024-04-17 00:00:00",0,0,National,"Global: D1 - Demographic aggregations (birds). National: D1 - Demographic aggregations (birds)","Species management, Resource & habitat protection, Site/area management, Site/area protection","Temperate or sub-polar needleleaf forest(0.05%), Barren lands(0.13%), Urban(8.71%), Mixed forest(2.97%), Water(0.68%), Temperate or sub-polar broadleaf deciduous forest(0.71%), Cropland(86.71%), ",Ontario,"Tundra Swan(Cygnus columbianus), "
ON022,"West End of Lake Ontario","West End of Lake Ontario",43.23,-79.46,70,91,685.18,"2024-09-05 00:00:00",0,0,National,"Global: A1 - Threatened species (birds); D1 - Demographic aggregations (birds). National: D1 - Demographic aggregations (birds)",,"Mixed forest(0.32%), Barren lands(0.13%), Temperate or sub-polar needleleaf forest(0.06%), Wetland(0.07%), Temperate or sub-polar shrubland(0.09%), Water(95.79%), Temperate or sub-polar grassland(0.04%), Cropland(0.48%), Temperate or sub-polar broadleaf deciduous forest(0.03%), Urban(3%), ",Ontario,"Long-tailed Duck(Clangula hyemalis), Greater Scaup(Aythya marila), Tundra Swan(Cygnus columbianus), White-winged Scoter(Melanitta deglandi), Red-breasted Merganser(Mergus serrator), Double-crested Cormorant(Nannopterum auritum), "
